"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","type","max","check_bound","check_bound2","zeke_time_0","zeke_lt_eq3","zeke_lt_eq6","time_to_zeke"
"58",2021-12-01,"Missouri",12,239,17.0103828509271,9.17461735645997,2.73,"Start",10.15,TRUE,TRUE,TRUE,TRUE,TRUE,0
"59",2021-12-08,"Connecticut",10,300,16.1838303620438,7.79984134563338,2.38,"Start",9.45,FALSE,TRUE,TRUE,TRUE,TRUE,0
"60",2021-12-08,"New Jersey",9,316,15.4128655207781,7.33562526438119,1.96,"Start",8.75,TRUE,TRUE,TRUE,TRUE,TRUE,0
"61",2021-12-08,"North Carolina",12,205,10.4594890735048,7.25391841356199,0.98,"Start",5.53,FALSE,TRUE,TRUE,TRUE,TRUE,0
"62",2021-12-08,"Oklahoma",12,237,24.2862532982931,8.50970219360106,1.26,"Start",8.61,TRUE,TRUE,TRUE,TRUE,TRUE,0
"63",2021-12-08,"Rhode Island",10,565,14.442668740873,8.78154307672841,4.41,"Start",6.02,FALSE,FALSE,TRUE,TRUE,TRUE,0
"64",2021-12-15,"District of Columbia",8,227,16.011358145743,4.39016604815029,1.68,"Start",3.29,TRUE,TRUE,FALSE,TRUE,TRUE,3
"65",2021-12-15,"Virginia",10,212,12.5827146539068,9.03057065049373,1.05,"Start",10.43,TRUE,TRUE,TRUE,TRUE,TRUE,0
"66",2021-12-22,"Florida",9,351,10.9043145467327,3.14201741936992,1.26,"Start",6.72,FALSE,TRUE,TRUE,TRUE,TRUE,0
"67",2021-12-22,"Georgia",9,250,14.1842328406808,6.42774077748728,2.31,"Start",6.23,FALSE,TRUE,TRUE,TRUE,TRUE,0
"68",2021-12-22,"Maryland",7,299,22.2472906273571,13.6427944227825,7,"Start",7.49,TRUE,TRUE,TRUE,TRUE,TRUE,0
"69",2021-12-22,"Nevada",9,212,17.5315795693465,9.60421019995956,3.15,"Start",7.14,TRUE,TRUE,TRUE,TRUE,TRUE,0
"70",2021-12-22,"Tennessee",10,242,12.9298213810338,8.10673450145373,3.01,"Start",9.73,TRUE,TRUE,TRUE,TRUE,TRUE,0
"71",2021-12-22,"Texas",9,202,11.2429762006542,6.68621106511393,2.24,"Start",5.18,FALSE,TRUE,TRUE,TRUE,TRUE,0
"72",2021-12-29,"Alabama",8,392,14.4599887624065,5.30323942384597,2.38,"Start",7.35,FALSE,TRUE,TRUE,TRUE,TRUE,0
"73",2021-12-29,"Arkansas",9,385,19.5175034561555,8.95189619297805,3.01,"Start",8.96,TRUE,TRUE,TRUE,TRUE,TRUE,0
"74",2021-12-29,"California",8,398,11.4825227626398,9.06896517222887,1.82,"Start",3.5,FALSE,TRUE,TRUE,TRUE,TRUE,0
"75",2021-12-29,"Hawaii",8,761,10.0997830312345,5.21172380907207,1.47,"Start",2.94,FALSE,FALSE,FALSE,TRUE,TRUE,3
"76",2021-12-29,"Louisiana",8,617,20.7365609231125,5.33300474400541,2.8,"Start",6.16,FALSE,TRUE,FALSE,TRUE,TRUE,1
"77",2021-12-29,"Mississippi",8,449,15.5906172708423,7.23936009461042,3.36,"Start",13.3,FALSE,TRUE,TRUE,TRUE,TRUE,0
"78",2021-12-29,"South Carolina",9,346,16.1982195942521,8.3870802560718,3.5,"Start",8.82,FALSE,TRUE,TRUE,TRUE,TRUE,0
"79",2021-12-29,"Wyoming",8,204,11.2309268624764,9.78075354703563,2.24,"Start",5.04,TRUE,TRUE,TRUE,TRUE,TRUE,0
"80",2022-01-05,"Idaho",9,309,12.646434237143,11.4827382242344,4.27,"Start",7.7,TRUE,TRUE,TRUE,TRUE,TRUE,0
"81",2022-01-05,"Montana",10,332,23.7654592441087,7.11030485336112,2.52,"Start",5.88,TRUE,TRUE,TRUE,TRUE,TRUE,0
"82",2022-01-05,"Oregon",7,553,10.1002030235645,9.17968375438559,3.29,"Start",3.78,FALSE,TRUE,TRUE,TRUE,TRUE,0
"83",2022-01-05,"Washington",7,747,16.6647121633882,11.5139176310067,4.27,"Start",5.04,FALSE,FALSE,TRUE,TRUE,TRUE,0
"84",2022-01-12,"Alaska",6,1382,15.5834569301957,7.14354487167951,1.47,"Start",3.71,FALSE,FALSE,FALSE,TRUE,TRUE,1
"85",2022-04-27,"Vermont",5,355,16.1861827692475,5.897858313977,0.98,"Start",1.19,FALSE,FALSE,FALSE,TRUE,NA,1
"86",2022-05-04,"Maine",1,370,10.786988957099,7.1457055163414,0.63,"Start",0.63,FALSE,TRUE,TRUE,TRUE,NA,0
"87",2022-05-04,"Massachusetts",5,298,10.0979281401836,3.13640222087348,1.33,"Start",1.33,FALSE,FALSE,FALSE,TRUE,NA,1
"88",2022-05-04,"New York",5,281,12.2342639478705,5.57575814959413,0.91,"Start",0.91,FALSE,FALSE,FALSE,TRUE,NA,3
"89",2022-05-11,"Connecticut",3,335,11.2473413781275,4.99961292606112,1.05,"Start",1.12,FALSE,FALSE,FALSE,TRUE,NA,1
"90",2022-05-11,"Delaware",4,250,12.8367859152731,4.25750019546372,1.47,"Start",1.47,FALSE,TRUE,TRUE,TRUE,NA,0
"91",2022-05-18,"District of Columbia",3,392,12.327328837873,2.9964175764692,NA,"Start",0.7,FALSE,TRUE,FALSE,NA,NA,NA
