OBJECTID,ReportDate,Statewide
415,2021/05/12 14:00:00+00,8.46
416,2021/05/13 14:00:00+00,8.22
417,2021/05/14 14:00:00+00,7.61
418,2021/05/15 14:00:00+00,6.96
419,2021/05/16 14:00:00+00,6.8
420,2021/05/17 14:00:00+00,6.65
421,2021/05/18 14:00:00+00,6.21
422,2021/05/19 14:00:00+00,5.89
423,2021/05/20 14:00:00+00,5.53
424,2021/05/21 14:00:00+00,5.36
425,2021/05/22 14:00:00+00,5.7
426,2021/05/23 14:00:00+00,5.41
427,2021/05/24 14:00:00+00,5.44
428,2021/05/25 14:00:00+00,5.32
429,2021/05/26 14:00:00+00,4.99
430,2021/05/27 14:00:00+00,4.75
431,2021/05/28 14:00:00+00,4.29
432,2021/05/29 14:00:00+00,3.5
433,2021/05/30 14:00:00+00,3.51
434,2021/05/31 14:00:00+00,3.25
435,2021/06/01 14:00:00+00,3.11
436,2021/06/02 14:00:00+00,2.79
437,2021/06/03 14:00:00+00,2.6
438,2021/06/04 14:00:00+00,2.35
439,2021/06/05 14:00:00+00,2.23
440,2021/06/06 14:00:00+00,1.89
441,2021/06/07 14:00:00+00,1.81
442,2021/06/08 14:00:00+00,1.75
443,2021/06/09 14:00:00+00,1.9
444,2021/06/10 14:00:00+00,1.87
445,2021/06/11 14:00:00+00,1.79
446,2021/06/12 14:00:00+00,1.68
447,2021/06/13 14:00:00+00,1.63
448,2021/06/14 14:00:00+00,1.57
449,2021/06/15 14:00:00+00,1.55
450,2021/06/16 14:00:00+00,1.43
451,2021/06/17 14:00:00+00,1.34
452,2021/06/18 14:00:00+00,1.27
453,2021/06/19 14:00:00+00,1.21
454,2021/06/20 14:00:00+00,1.12
455,2021/06/21 14:00:00+00,1.07
456,2021/06/22 14:00:00+00,1.03
457,2021/06/23 14:00:00+00,0.99
458,2021/06/24 14:00:00+00,0.95
459,2021/06/25 14:00:00+00,0.9
460,2021/06/26 14:00:00+00,0.9
461,2021/06/27 14:00:00+00,0.96
462,2021/06/28 14:00:00+00,0.95
463,2021/06/29 14:00:00+00,0.92
464,2021/06/30 14:00:00+00,0.93
465,2021/07/01 14:00:00+00,0.95
466,2021/07/02 14:00:00+00,1
467,2021/07/03 14:00:00+00,1.08
468,2021/07/04 14:00:00+00,1.07
469,2021/07/05 14:00:00+00,1.07
470,2021/07/06 14:00:00+00,1.1
471,2021/07/07 14:00:00+00,1.08
472,2021/07/08 14:00:00+00,1.14
473,2021/07/09 14:00:00+00,1.28
474,2021/07/10 14:00:00+00,1.35
475,2021/07/11 14:00:00+00,1.39
476,2021/07/12 14:00:00+00,1.49
477,2021/07/13 14:00:00+00,1.66
478,2021/07/14 14:00:00+00,1.77
479,2021/07/15 14:00:00+00,1.96
480,2021/07/16 14:00:00+00,2.05
481,2021/07/17 14:00:00+00,2.18
482,2021/07/18 14:00:00+00,2.39
483,2021/07/19 14:00:00+00,2.53
484,2021/07/20 14:00:00+00,2.62
485,2021/07/21 14:00:00+00,2.95
486,2021/07/22 14:00:00+00,3.24
487,2021/07/23 14:00:00+00,3.49
488,2021/07/24 14:00:00+00,3.81
489,2021/07/25 14:00:00+00,4.14
490,2021/07/26 14:00:00+00,4.42
491,2021/07/27 14:00:00+00,4.78
492,2021/07/28 14:00:00+00,5.19
493,2021/07/29 14:00:00+00,5.66
494,2021/07/30 14:00:00+00,6.23
495,2021/07/31 14:00:00+00,6.86
496,2021/08/01 14:00:00+00,7.43
497,2021/08/02 14:00:00+00,7.89
498,2021/08/03 14:00:00+00,8.02
499,2021/08/04 14:00:00+00,8.68
500,2021/08/05 14:00:00+00,9.21
501,2021/08/06 14:00:00+00,10.07
502,2021/08/07 14:00:00+00,10.79
503,2021/08/08 14:00:00+00,11.52
504,2021/08/09 14:00:00+00,11.85
505,2021/08/10 14:00:00+00,12.46
506,2021/08/11 14:00:00+00,12.91
507,2021/08/12 14:00:00+00,13.67
508,2021/08/13 14:00:00+00,13.81
509,2021/08/14 14:00:00+00,14.1
510,2021/08/15 14:00:00+00,14.14
511,2021/08/16 14:00:00+00,14.56
512,2021/08/17 14:00:00+00,15.09
513,2021/08/18 14:00:00+00,15.39
514,2021/08/19 14:00:00+00,15.42
515,2021/08/20 14:00:00+00,16.02
516,2021/08/21 14:00:00+00,16.29
517,2021/08/22 14:00:00+00,16.58
518,2021/08/23 14:00:00+00,16.95
519,2021/08/24 14:00:00+00,16.94
520,2021/08/25 14:00:00+00,17.37
521,2021/08/26 14:00:00+00,17.8
522,2021/08/27 14:00:00+00,18.19
523,2021/08/28 14:00:00+00,18.75
524,2021/08/29 14:00:00+00,18.94
525,2021/08/30 14:00:00+00,18.98
526,2021/08/31 14:00:00+00,19.52
527,2021/09/01 14:00:00+00,19.96
528,2021/09/02 14:00:00+00,20.02
529,2021/09/03 14:00:00+00,20.06
530,2021/09/04 14:00:00+00,19.65
531,2021/09/05 14:00:00+00,19.03
532,2021/09/06 14:00:00+00,19.23
533,2021/09/07 14:00:00+00,18.56
534,2021/09/08 14:00:00+00,16.97
535,2021/09/09 14:00:00+00,16.11
536,2021/09/10 14:00:00+00,16.5
537,2021/09/11 14:00:00+00,16.93
538,2021/09/12 14:00:00+00,17.74
539,2021/09/13 14:00:00+00,17.92
540,2021/09/14 14:00:00+00,18.63
541,2021/09/15 14:00:00+00,19.78
542,2021/09/16 14:00:00+00,20.78
543,2021/09/17 14:00:00+00,20.72
544,2021/09/18 14:00:00+00,20.48
545,2021/09/19 14:00:00+00,20.21
546,2021/09/20 14:00:00+00,20.3
547,2021/09/21 14:00:00+00,20.01
548,2021/09/22 14:00:00+00,19.91
549,2021/09/23 14:00:00+00,20.09
550,2021/09/24 14:00:00+00,19.7
551,2021/09/25 14:00:00+00,20.39
552,2021/09/26 14:00:00+00,20.57
553,2021/09/27 14:00:00+00,20.15
554,2021/09/28 14:00:00+00,20.15
555,2021/09/29 14:00:00+00,20.1
556,2021/09/30 14:00:00+00,20.27
557,2021/10/01 14:00:00+00,20.67
558,2021/10/02 14:00:00+00,20.01
559,2021/10/03 14:00:00+00,19.96
560,2021/10/04 14:00:00+00,20.23
561,2021/10/05 14:00:00+00,19.47
562,2021/10/06 14:00:00+00,19.36
563,2021/10/07 14:00:00+00,19.17
564,2021/10/08 14:00:00+00,18.33
565,2021/10/09 14:00:00+00,18.26
566,2021/10/10 14:00:00+00,18.83
567,2021/10/11 14:00:00+00,18.2
568,2021/10/12 14:00:00+00,17.63
569,2021/10/13 14:00:00+00,17.72
570,2021/10/14 14:00:00+00,17.07
571,2021/10/15 14:00:00+00,16.81
572,2021/10/16 14:00:00+00,16.05
573,2021/10/17 14:00:00+00,14.96
574,2021/10/18 14:00:00+00,14.74
575,2021/10/19 14:00:00+00,15.05
576,2021/10/20 14:00:00+00,14.11
